config_id,agent,grid,best,seed,eval_success_rate,eval_mean_reward,eval_mean_length,best_eval_steps
final_dqn_fishbone_best1_seed0,dqn,fishbone,1,0,1.0,-35.0,38.8,24757
final_dqn_fishbone_best1_seed1,dqn,fishbone,1,1,1.0,-34.3,38.5,23953
final_dqn_fishbone_best1_seed2,dqn,fishbone,1,2,1.0,-43.1,40.1,67534
final_dqn_fishbone_best2_seed0,dqn,fishbone,2,0,1.0,-35.0,38.8,36081
final_dqn_fishbone_best2_seed1,dqn,fishbone,2,1,1.0,-36.7,38.5,130196
final_dqn_fishbone_best2_seed2,dqn,fishbone,2,2,1.0,-37.1,40.5,36549
final_dqn_flying_v_best1_seed0,dqn,flying_v,1,0,1.0,-33.9,38.9,173056
final_dqn_flying_v_best1_seed1,dqn,flying_v,1,1,0.0,-5260.4,5000.0,298898
final_dqn_flying_v_best1_seed2,dqn,flying_v,1,2,1.0,-214.6,169.6,94235
final_dqn_flying_v_best2_seed0,dqn,flying_v,2,0,1.0,-37.1,40.5,764642
final_dqn_flying_v_best2_seed1,dqn,flying_v,2,1,0.0,-5260.4,5000.0,699264
final_dqn_flying_v_best2_seed2,dqn,flying_v,2,2,1.0,-69.5,47.3,237828
final_dqn_half_aisles_best1_seed0,dqn,half_aisles,1,0,1.0,-43.5,45.3,264843
final_dqn_half_aisles_best1_seed1,dqn,half_aisles,1,1,0.2,-5263.0,4388.4,477791
final_dqn_half_aisles_best1_seed2,dqn,half_aisles,1,2,1.0,-102.4,99.0,409876
final_dqn_half_aisles_best2_seed0,dqn,half_aisles,2,0,1.0,-43.9,45.7,390569
final_dqn_half_aisles_best2_seed1,dqn,half_aisles,2,1,0.0,-5745.2,5000.0,496467
final_dqn_half_aisles_best2_seed2,dqn,half_aisles,2,2,1.0,-521.9,147.7,488758
final_ppo_fishbone_best1_seed0,ppo,fishbone,1,0,0.0,-23563.6,5000.0,103575
final_ppo_fishbone_best1_seed1,ppo,fishbone,1,1,0.0,-23589.2,5000.0,96625
final_ppo_fishbone_best1_seed2,ppo,fishbone,1,2,0.0,-23726.8,5000.0,40254
final_ppo_fishbone_best2_seed0,ppo,fishbone,2,0,0.0,-23579.6,5000.0,97155
final_ppo_fishbone_best2_seed1,ppo,fishbone,2,1,0.0,-23589.2,5000.0,100000
final_ppo_fishbone_best2_seed2,ppo,fishbone,2,2,0.0,-23528.4,5000.0,100000
final_ppo_flying_v_best1_seed0,ppo,flying_v,1,0,0.1,-22133.7,4695.2,112472
final_ppo_flying_v_best1_seed1,ppo,flying_v,1,1,0.1,-22592.2,4798.5,317317
final_ppo_flying_v_best1_seed2,ppo,flying_v,1,2,0.1,-19354.3,4747.8,454414
final_ppo_flying_v_best2_seed0,ppo,flying_v,2,0,0.0,-23526.4,5000.0,100000
final_ppo_flying_v_best2_seed1,ppo,flying_v,2,1,0.0,-23846.8,5000.0,96816
final_ppo_flying_v_best2_seed2,ppo,flying_v,2,2,0.0,-23426.4,5000.0,100000
final_ppo_half_aisles_best1_seed0,ppo,half_aisles,1,0,0.0,-22435.2,5000.0,100000
final_ppo_half_aisles_best1_seed1,ppo,half_aisles,1,1,0.6,-15328.3,3449.7,80850
final_ppo_half_aisles_best1_seed2,ppo,half_aisles,1,2,0.1,-22214.5,4977.2,83408
final_ppo_half_aisles_best2_seed0,ppo,half_aisles,2,0,0.1,-23233.8,4923.3,88547
final_ppo_half_aisles_best2_seed1,ppo,half_aisles,2,1,0.1,-21857.6,4633.5,91729
final_ppo_half_aisles_best2_seed2,ppo,half_aisles,2,2,0.0,-8903.6,5000.0,300000
