config_id,agent,grid,swept_param,swept_value,eval_success_rate,eval_mean_reward,eval_mean_length,best_eval_steps,runtime_sec
dqn_fishbone_baseline_default,dqn,fishbone,baseline,default,1.0,-83.9,53.7,97524,43.02
dqn_fishbone_lr_0p0001,dqn,fishbone,lr,0.0001,0.0,-6026.4,5000.0,96259,225.4
dqn_fishbone_lr_0p0003,dqn,fishbone,lr,0.0003,0.0,-5736.0,5000.0,497610,224.52
dqn_fishbone_gamma_0p95,dqn,fishbone,gamma,0.95,1.0,-35.0,38.8,238098,107.05
dqn_fishbone_gamma_0p999,dqn,fishbone,gamma,0.999,0.0,-5766.8,5000.0,100000,223.92
dqn_fishbone_sigma_0p2,dqn,fishbone,sigma,0.2,1.0,-89.8,72.0,62314,34.99
dqn_fishbone_iter_200000,dqn,fishbone,iter,200000,1.0,-83.9,53.7,97524,45.44
dqn_fishbone_iter_1000000,dqn,fishbone,iter,1000000,1.0,-83.9,53.7,97524,45.49
dqn_fishbone_epsilon_decay_0p99997,dqn,fishbone,epsilon_decay,0.99997,1.0,-35.0,38.8,24757,19.47
dqn_fishbone_epsilon_decay_0p99998,dqn,fishbone,epsilon_decay,0.99998,1.0,-35.0,38.8,36081,15.54
dqn_fishbone_batch_size_128,dqn,fishbone,batch_size,128,1.0,-81.0,78.4,265681,147.88
dqn_fishbone_target_update_1000,dqn,fishbone,target_update,1000,1.0,-90.5,83.5,320755,225.39
dqn_fishbone_max_buffer_100000,dqn,fishbone,max_buffer,100000,1.0,-54.4,47.0,119348,58.16
dqn_flying_v_baseline_default,dqn,flying_v,baseline,default,0.0,-5264.8,5000.0,285677,235.12
dqn_flying_v_lr_0p0001,dqn,flying_v,lr,0.0001,0.0,-5397.6,5000.0,296545,224.97
dqn_flying_v_lr_0p0003,dqn,flying_v,lr,0.0003,0.0,-5397.6,5000.0,469438,223.65
dqn_flying_v_gamma_0p95,dqn,flying_v,gamma,0.95,0.0,-5246.0,5000.0,278998,226.16
dqn_flying_v_gamma_0p999,dqn,flying_v,gamma,0.999,1.0,-77.8,49.6,130900,61.21
dqn_flying_v_sigma_0p2,dqn,flying_v,sigma,0.2,0.0,-5576.8,5000.0,200000,233.61
dqn_flying_v_iter_200000,dqn,flying_v,iter,200000,0.0,-5405.6,5000.0,188929,84.83
dqn_flying_v_iter_1000000,dqn,flying_v,iter,1000000,1.0,-37.1,40.5,764642,327.85
dqn_flying_v_epsilon_decay_0p99997,dqn,flying_v,epsilon_decay,0.99997,1.0,-33.9,38.9,173056,72.44
dqn_flying_v_epsilon_decay_0p99998,dqn,flying_v,epsilon_decay,0.99998,1.0,-41.9,40.5,267180,112.66
dqn_flying_v_batch_size_128,dqn,flying_v,batch_size,128,0.0,-5252.4,5000.0,360464,281.54
dqn_flying_v_target_update_1000,dqn,flying_v,target_update,1000,0.0,-5430.8,5000.0,494485,221.46
dqn_flying_v_max_buffer_100000,dqn,flying_v,max_buffer,100000,0.0,-5246.0,5000.0,487329,2125.73
dqn_half_aisles_baseline_default,dqn,half_aisles,baseline,default,1.0,-43.9,45.7,390569,164.53
dqn_half_aisles_lr_0p0001,dqn,half_aisles,lr,0.0001,0.0,-5803.2,5000.0,376266,221.98
dqn_half_aisles_lr_0p0003,dqn,half_aisles,lr,0.0003,0.1,-5652.3,4511.0,55433,222.5
dqn_half_aisles_gamma_0p95,dqn,half_aisles,gamma,0.95,1.0,-43.5,45.3,264843,118.57
dqn_half_aisles_gamma_0p999,dqn,half_aisles,gamma,0.999,0.0,-5730.8,5000.0,96706,222.29
dqn_half_aisles_sigma_0p2,dqn,half_aisles,sigma,0.2,0.0,-6970.0,5000.0,349395,222.96
dqn_half_aisles_iter_200000,dqn,half_aisles,iter,200000,0.0,-6043.2,5000.0,191940,89.61
dqn_half_aisles_iter_1000000,dqn,half_aisles,iter,1000000,1.0,-43.9,45.7,390569,168.18
dqn_half_aisles_epsilon_decay_0p99997,dqn,half_aisles,epsilon_decay,0.99997,1.0,-48.9,49.9,136675,62.09
dqn_half_aisles_epsilon_decay_0p99998,dqn,half_aisles,epsilon_decay,0.99998,1.0,-48.9,49.9,204581,94.77
dqn_half_aisles_batch_size_128,dqn,half_aisles,batch_size,128,0.5,-4718.9,3750.8,497925,290.55
dqn_half_aisles_target_update_1000,dqn,half_aisles,target_update,1000,1.0,-44.3,46.9,163981,71.22
dqn_half_aisles_max_buffer_100000,dqn,half_aisles,max_buffer,100000,0.0,-5732.4,5000.0,396706,265.77
ppo_fishbone_baseline_default,ppo,fishbone,baseline,default,0.0,-23563.6,5000.0,100000,120.42
ppo_fishbone_lr_0p0001,ppo,fishbone,lr,0.0001,0.0,-6190.4,5000.0,385644,85.3
ppo_fishbone_lr_0p0003,ppo,fishbone,lr,0.0003,0.0,-6026.4,5000.0,127804,122.26
ppo_fishbone_gamma_0p95,ppo,fishbone,gamma,0.95,0.0,-6026.4,5000.0,99200,2563.94
ppo_fishbone_gamma_0p999,ppo,fishbone,gamma,0.999,0.0,-23563.6,5000.0,100000,351.07
ppo_fishbone_sigma_0p2,ppo,fishbone,sigma,0.2,0.0,-22693.6,5000.0,100000,117.89
ppo_fishbone_iter_200000,ppo,fishbone,iter,200000,0.0,-23809.2,5000.0,100000,48.01
ppo_fishbone_iter_1000000,ppo,fishbone,iter,1000000,0.3,-21683.7,4587.4,88546,457.77
ppo_fishbone_clip_eps_0p1,ppo,fishbone,clip_eps,0.1,0.0,-23563.6,5000.0,95508,119.54
ppo_fishbone_clip_eps_0p3,ppo,fishbone,clip_eps,0.3,0.3,-21683.7,4587.4,86878,85.09
ppo_fishbone_rollout_size_512,ppo,fishbone,rollout_size,512,0.0,-23809.2,5000.0,89764,119.35
ppo_fishbone_rollout_size_1024,ppo,fishbone,rollout_size,1024,0.3,-21683.7,4587.4,93546,87.41
ppo_fishbone_rollout_size_2048,ppo,fishbone,rollout_size,2048,0.8,-11734.4,2478.8,90662,105.77
ppo_fishbone_ppo_epochs_5,ppo,fishbone,ppo_epochs,5,0.3,-21683.7,4587.4,80128,70.55
ppo_fishbone_ppo_epochs_20,ppo,fishbone,ppo_epochs,20,0.3,-21683.7,4587.4,86878,121.09
ppo_fishbone_gae_lambda_0p9,ppo,fishbone,gae_lambda,0.9,0.0,-23579.6,5000.0,100000,120.84
ppo_fishbone_gae_lambda_0p98,ppo,fishbone,gae_lambda,0.98,0.0,-23809.2,5000.0,100000,121.2
ppo_fishbone_entropy_coef_0p05,ppo,fishbone,entropy_coef,0.05,0.0,-23563.6,5000.0,98176,123.15
ppo_fishbone_entropy_coef_0p1,ppo,fishbone,entropy_coef,0.1,0.0,-23809.2,5000.0,100000,122.9
ppo_flying_v_baseline_default,ppo,flying_v,baseline,default,0.0,-23526.4,5000.0,90836,121.27
ppo_flying_v_lr_0p0001,ppo,flying_v,lr,0.0001,0.5,-13265.8,3542.5,294062,91.82
ppo_flying_v_lr_0p0003,ppo,flying_v,lr,0.0003,0.0,-5963.6,5000.0,274005,122.55
ppo_flying_v_gamma_0p95,ppo,flying_v,gamma,0.95,0.0,-5963.6,5000.0,96299,123.21
ppo_flying_v_gamma_0p999,ppo,flying_v,gamma,0.999,0.0,-23792.8,5000.0,195776,123.27
ppo_flying_v_sigma_0p2,ppo,flying_v,sigma,0.2,0.0,-22030.8,5000.0,95651,120.69
ppo_flying_v_iter_200000,ppo,flying_v,iter,200000,0.0,-23526.4,5000.0,95530,49.48
ppo_flying_v_iter_1000000,ppo,flying_v,iter,1000000,0.1,-22133.7,4695.2,85122,168.76
ppo_flying_v_clip_eps_0p1,ppo,flying_v,clip_eps,0.1,0.0,-23804.4,5000.0,95308,121.0
ppo_flying_v_clip_eps_0p3,ppo,flying_v,clip_eps,0.3,0.1,-22133.7,4695.2,95977,85.58
ppo_flying_v_rollout_size_512,ppo,flying_v,rollout_size,512,0.0,-23804.4,5000.0,100000,120.25
ppo_flying_v_rollout_size_1024,ppo,flying_v,rollout_size,1024,0.0,-23792.8,5000.0,90548,122.68
ppo_flying_v_rollout_size_2048,ppo,flying_v,rollout_size,2048,0.1,-22133.7,4695.2,100000,86.65
ppo_flying_v_ppo_epochs_5,ppo,flying_v,ppo_epochs,5,0.1,-22133.7,4695.2,95977,68.92
ppo_flying_v_ppo_epochs_20,ppo,flying_v,ppo_epochs,20,0.0,-23526.4,5000.0,91816,159.4
ppo_flying_v_gae_lambda_0p9,ppo,flying_v,gae_lambda,0.9,0.1,-22133.7,4695.2,95977,87.48
ppo_flying_v_gae_lambda_0p98,ppo,flying_v,gae_lambda,0.98,0.0,-23526.4,5000.0,100000,120.98
ppo_flying_v_entropy_coef_0p05,ppo,flying_v,entropy_coef,0.05,0.1,-22133.7,4695.2,95977,86.36
ppo_flying_v_entropy_coef_0p1,ppo,flying_v,entropy_coef,0.1,0.0,-23526.4,5000.0,191044,122.22
ppo_half_aisles_baseline_default,ppo,half_aisles,baseline,default,0.0,-23777.6,5000.0,100000,120.49
ppo_half_aisles_lr_0p0001,ppo,half_aisles,lr,0.0001,0.3,-20589.1,4484.4,270633,90.24
ppo_half_aisles_lr_0p0003,ppo,half_aisles,lr,0.0003,0.0,-23777.6,5000.0,90912,119.59
ppo_half_aisles_gamma_0p95,ppo,half_aisles,gamma,0.95,0.0,-6048.4,5000.0,194690,121.96
ppo_half_aisles_gamma_0p999,ppo,half_aisles,gamma,0.999,0.0,-23777.6,5000.0,100000,123.76
ppo_half_aisles_sigma_0p2,ppo,half_aisles,sigma,0.2,0.5,-18076.6,4065.3,88009,85.31
ppo_half_aisles_iter_200000,ppo,half_aisles,iter,200000,0.1,-23233.8,4923.3,99233,36.66
ppo_half_aisles_iter_1000000,ppo,half_aisles,iter,1000000,0.0,-23777.6,5000.0,100000,243.83
ppo_half_aisles_clip_eps_0p1,ppo,half_aisles,clip_eps,0.1,0.0,-24016.0,5000.0,91763,120.61
ppo_half_aisles_clip_eps_0p3,ppo,half_aisles,clip_eps,0.3,0.0,-24016.0,5000.0,100000,120.17
ppo_half_aisles_rollout_size_512,ppo,half_aisles,rollout_size,512,0.1,-23233.8,4923.3,85427,87.18
ppo_half_aisles_rollout_size_1024,ppo,half_aisles,rollout_size,1024,0.0,-24016.0,5000.0,100000,122.99
ppo_half_aisles_rollout_size_2048,ppo,half_aisles,rollout_size,2048,0.0,-23786.4,5000.0,90921,120.37
ppo_half_aisles_ppo_epochs_5,ppo,half_aisles,ppo_epochs,5,0.0,-23777.6,5000.0,100000,102.9
ppo_half_aisles_ppo_epochs_20,ppo,half_aisles,ppo_epochs,20,0.1,-23233.8,4923.3,100000,122.87
ppo_half_aisles_gae_lambda_0p9,ppo,half_aisles,gae_lambda,0.9,0.0,-23777.6,5000.0,96219,123.42
ppo_half_aisles_gae_lambda_0p98,ppo,half_aisles,gae_lambda,0.98,0.1,-23233.8,4923.3,99233,86.23
ppo_half_aisles_entropy_coef_0p05,ppo,half_aisles,entropy_coef,0.05,0.0,-23777.6,5000.0,100000,122.26
ppo_half_aisles_entropy_coef_0p1,ppo,half_aisles,entropy_coef,0.1,0.0,-23777.6,5000.0,100000,121.82
