agent,grid,config_id,step,success,reward,length
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,22726,1.0,-773.3,191.9
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,24757,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,29395,1.0,-122.4,109.4
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,31225,0.9,-1075.0,690.9
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,32964,1.0,-866.2,223.6
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,34576,1.0,-237.7,80.3
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,35942,1.0,-237.7,80.3
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,37345,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,38576,0.0,-6026.4,5000.0
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,42149,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,43542,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,44671,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,45773,1.0,-35.0,38.8
dqn,fishbone,dqn_fishbone_epsilon_decay_0p99997,46845,1.0,-35.0,38.8
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,58912,0.4,-5096.4,4080.8
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,95792,0.0,-5261.6,5000.0
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,141273,0.9,-2513.8,1910.5
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,159928,0.0,-5527.2,5000.0
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,164252,1.0,-226.7,214.1
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,169271,1.0,-41.9,40.5
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,170174,1.0,-41.5,44.1
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,171692,1.0,-110.1,106.3
dqn,flying_v,dqn_flying_v_epsilon_decay_0p99997,173056,1.0,-33.9,38.9
dqn,half_aisles,dqn_half_aisles_gamma_0p95,82335,0.0,-6097.6,5000.0
dqn,half_aisles,dqn_half_aisles_gamma_0p95,170482,0.0,-5946.8,5000.0
dqn,half_aisles,dqn_half_aisles_gamma_0p95,229421,0.6,-3614.5,2926.7
dqn,half_aisles,dqn_half_aisles_gamma_0p95,240823,0.0,-5944.8,5000.0
dqn,half_aisles,dqn_half_aisles_gamma_0p95,249972,0.0,-5949.6,5000.0
