agent,grid,swept_param,success_impact,reward_impact,length_impact
dqn,fishbone,batch_size,0.0,0.0,0.0
dqn,fishbone,epsilon_decay,0.0,0.0,0.0
dqn,fishbone,gamma,1.0,5731.8,4961.2
dqn,fishbone,iter,0.0,0.0,0.0
dqn,fishbone,lr,0.0,290.39999999999964,0.0
dqn,fishbone,max_buffer,0.0,0.0,0.0
dqn,fishbone,sigma,0.0,0.0,0.0
dqn,fishbone,target_update,0.0,0.0,0.0
dqn,flying_v,batch_size,0.0,0.0,0.0
dqn,flying_v,epsilon_decay,0.0,8.0,1.6000000000000014
dqn,flying_v,gamma,1.0,5168.2,4950.4
dqn,flying_v,iter,1.0,5368.5,4959.5
dqn,flying_v,lr,0.0,0.0,0.0
dqn,flying_v,max_buffer,0.0,0.0,0.0
dqn,flying_v,sigma,0.0,0.0,0.0
dqn,flying_v,target_update,0.0,0.0,0.0
dqn,half_aisles,batch_size,0.0,0.0,0.0
dqn,half_aisles,epsilon_decay,0.0,0.0,0.0
dqn,half_aisles,gamma,1.0,5687.3,4954.7
dqn,half_aisles,iter,1.0,5999.3,4954.3
dqn,half_aisles,lr,0.1,150.89999999999964,489.0
dqn,half_aisles,max_buffer,0.0,0.0,0.0
dqn,half_aisles,sigma,0.0,0.0,0.0
dqn,half_aisles,target_update,0.0,0.0,0.0
ppo,fishbone,clip_eps,0.3,1879.8999999999978,412.60000000000036
ppo,fishbone,entropy_coef,0.0,245.60000000000218,0.0
ppo,fishbone,gae_lambda,0.0,229.60000000000218,0.0
ppo,fishbone,gamma,0.0,17537.199999999997,0.0
ppo,fishbone,iter,0.3,2125.5,412.60000000000036
ppo,fishbone,lr,0.0,164.0,0.0
ppo,fishbone,ppo_epochs,0.0,0.0,0.0
ppo,fishbone,rollout_size,0.8,12074.800000000001,2521.2
ppo,fishbone,sigma,0.0,0.0,0.0
ppo,flying_v,clip_eps,0.1,1670.7000000000007,304.8000000000002
ppo,flying_v,entropy_coef,0.1,1392.7000000000007,304.8000000000002
ppo,flying_v,gae_lambda,0.1,1392.7000000000007,304.8000000000002
ppo,flying_v,gamma,0.0,17829.199999999997,0.0
ppo,flying_v,iter,0.1,1392.7000000000007,304.8000000000002
ppo,flying_v,lr,0.5,7302.199999999999,1457.5
ppo,flying_v,ppo_epochs,0.1,1392.7000000000007,304.8000000000002
ppo,flying_v,rollout_size,0.1,1670.7000000000007,304.8000000000002
ppo,flying_v,sigma,0.0,0.0,0.0
ppo,half_aisles,clip_eps,0.0,0.0,0.0
ppo,half_aisles,entropy_coef,0.0,0.0,0.0
ppo,half_aisles,gae_lambda,0.1,543.7999999999993,76.69999999999982
ppo,half_aisles,gamma,0.0,17729.199999999997,0.0
ppo,half_aisles,iter,0.1,543.7999999999993,76.69999999999982
ppo,half_aisles,lr,0.3,3188.5,515.6000000000004
ppo,half_aisles,ppo_epochs,0.1,543.7999999999993,76.69999999999982
ppo,half_aisles,rollout_size,0.1,782.2000000000007,76.69999999999982
ppo,half_aisles,sigma,0.0,0.0,0.0
