episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,961,-2714,961,1,N/A
2,1568,-1560,607,1,N/A
3,5129,-14058,3561,1,N/A
4,8106,-13890,2977,1,N/A
5,8883,-3490,777,1,N/A
6,11088,-10310,2205,1,N/A
7,15235,-19556,4147,1,N/A
8,20235,-23728,5000,0,N/A
9,25128,-23006,4893,1,N/A
10,30128,-23584,5000,0,N/A
11,35128,-23500,5000,0,N/A
12,40128,-23684,5000,0,N/A
13,45128,-23428,5000,0,N/A
14,50128,-23696,5000,0,N/A
15,55128,-23528,5000,0,N/A
16,60128,-23396,5000,0,N/A
17,65128,-23404,5000,0,N/A
18,70128,-23752,5000,0,N/A
19,75128,-23804,5000,0,N/A
20,80128,-23620,5000,0,N/A
21,85128,-23528,5000,0,N/A
22,90128,-23432,5000,0,N/A
23,95128,-23396,5000,0,N/A
24,100128,-23756,5000,0,N/A
25,105128,-23788,5000,0,N/A
26,110128,-23636,5000,0,N/A
27,115128,-23608,5000,0,N/A
28,120128,-23748,5000,0,N/A
29,125128,-23664,5000,0,N/A
30,130128,-23400,5000,0,N/A
31,135128,-23572,5000,0,N/A
32,140128,-23644,5000,0,N/A
33,145128,-23732,5000,0,N/A
34,150128,-23456,5000,0,N/A
35,155128,-23588,5000,0,N/A
36,160128,-23640,5000,0,N/A
37,165128,-23736,5000,0,N/A
38,170128,-23600,5000,0,N/A
39,175128,-23764,5000,0,N/A
40,180128,-23620,5000,0,N/A
41,185128,-23528,5000,0,N/A
42,190128,-23432,5000,0,N/A
43,195128,-23396,5000,0,N/A
44,200128,-23756,5000,0,N/A
45,205128,-23788,5000,0,N/A
46,210128,-23636,5000,0,N/A
47,215128,-23608,5000,0,N/A
48,220128,-23748,5000,0,N/A
49,225128,-23664,5000,0,N/A
50,230128,-23400,5000,0,N/A
51,235128,-23572,5000,0,N/A
52,240128,-23644,5000,0,N/A
53,245128,-23732,5000,0,N/A
54,250128,-23456,5000,0,N/A
55,255128,-23588,5000,0,N/A
56,260128,-23640,5000,0,N/A
57,265128,-23736,5000,0,N/A
58,270128,-23600,5000,0,N/A
59,275128,-23764,5000,0,N/A
60,280128,-23620,5000,0,N/A
61,285128,-23528,5000,0,N/A
62,290128,-23432,5000,0,N/A
63,295128,-23396,5000,0,N/A
64,300128,-23756,5000,0,N/A
65,305128,-23788,5000,0,N/A
66,310128,-23636,5000,0,N/A
67,315128,-23608,5000,0,N/A
68,320128,-23748,5000,0,N/A
69,325128,-23664,5000,0,N/A
70,330128,-23400,5000,0,N/A
71,335128,-23572,5000,0,N/A
72,340128,-23644,5000,0,N/A
73,345128,-23732,5000,0,N/A
74,350128,-23456,5000,0,N/A
75,355128,-23588,5000,0,N/A
76,360128,-23640,5000,0,N/A
77,365128,-23736,5000,0,N/A
78,370128,-23600,5000,0,N/A
79,375128,-23764,5000,0,N/A
80,380128,-23620,5000,0,N/A
81,385128,-23528,5000,0,N/A
82,390128,-23432,5000,0,N/A
83,395128,-23396,5000,0,N/A
84,400128,-23756,5000,0,N/A
85,405128,-23788,5000,0,N/A
86,410128,-23636,5000,0,N/A
87,415128,-23608,5000,0,N/A
88,420128,-23748,5000,0,N/A
89,425128,-23664,5000,0,N/A
90,430128,-23400,5000,0,N/A
91,435128,-23572,5000,0,N/A
92,440128,-23644,5000,0,N/A
93,445128,-23732,5000,0,N/A
94,450128,-23456,5000,0,N/A
95,455128,-23588,5000,0,N/A
96,460128,-23640,5000,0,N/A
97,465128,-23736,5000,0,N/A
98,470128,-23600,5000,0,N/A
99,475128,-23764,5000,0,N/A
100,480128,-23620,5000,0,N/A
101,485128,-23528,5000,0,N/A
102,490128,-23432,5000,0,N/A
103,495128,-23396,5000,0,N/A
104,500000,-23144,4872,0,N/A
