episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,1779,-4620,1779,1,0.9769
2,5295,-9329,3516,1,0.8791
3,5965,-1739,670,1,0.86161
4,6455,-1391,490,1,0.84904
5,6831,-933,376,1,0.83951
6,7320,-1242,489,1,0.82729
7,12320,-12076,5000,0,0.71205
8,17320,-11572,5000,0,0.61287
9,20819,-7796,3499,1,0.55179
10,23828,-6250,3009,1,0.50417
11,24230,-839,402,1,0.49812
12,24395,-382,165,1,0.49566
13,25639,-2521,1244,1,0.4775
14,25833,-375,194,1,0.47473
15,26472,-1392,639,1,0.46572
16,27060,-1209,588,1,0.45758
17,28231,-2332,1171,1,0.44178
18,28364,-254,133,1,0.44002
19,30949,-5194,2585,1,0.40719
20,35949,-9448,5000,0,0.35047
21,35999,-71,50,1,0.34994
22,36061,-91,62,1,0.34929
23,36133,-149,72,1,0.34854
24,36244,-280,111,1,0.34738
25,36319,-140,75,1,0.3466
26,36378,-100,59,1,0.34599
27,36427,-82,49,1,0.34548
28,36506,-160,79,1,0.34466
