episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,2771,-6896,2771,1,0.41242
2,7771,-7916,5000,0,0.03383
3,12771,-6444,5000,0,0.01
4,17771,-6068,5000,0,0.01
5,22771,-6008,5000,0,0.01
6,27771,-6380,5000,0,0.01
7,32771,-6040,5000,0,0.01
8,37771,-6076,5000,0,0.01
9,42771,-6164,5000,0,0.01
10,47771,-6256,5000,0,0.01
11,52771,-6088,5000,0,0.01
12,57771,-7240,5000,0,0.01
13,62771,-5996,5000,0,0.01
14,67771,-5888,5000,0,0.01
15,72771,-5444,5000,0,0.01
16,77771,-5512,5000,0,0.01
17,82771,-5440,5000,0,0.01
18,87771,-5404,5000,0,0.01
19,92771,-5404,5000,0,0.01
20,97771,-5456,5000,0,0.01
21,102771,-5592,5000,0,0.01
22,107771,-10176,5000,0,0.01
23,112771,-6204,5000,0,0.01
24,117771,-5968,5000,0,0.01
25,122771,-6004,5000,0,0.01
26,127771,-6056,5000,0,0.01
27,132771,-6216,5000,0,0.01
28,137771,-5460,5000,0,0.01
29,142771,-5372,5000,0,0.01
30,147771,-5396,5000,0,0.01
31,152771,-5340,5000,0,0.01
32,157771,-5380,5000,0,0.01
33,162771,-5348,5000,0,0.01
34,167771,-5376,5000,0,0.01
35,172771,-5328,5000,0,0.01
36,177771,-5436,5000,0,0.01
37,182771,-5296,5000,0,0.01
38,187771,-5356,5000,0,0.01
39,192771,-5380,5000,0,0.01
40,197771,-5368,5000,0,0.01
41,202771,-5392,5000,0,0.01
42,207771,-5356,5000,0,0.01
43,212771,-5472,5000,0,0.01
44,217771,-5384,5000,0,0.01
45,222771,-5304,5000,0,0.01
46,227771,-5368,5000,0,0.01
47,232771,-5328,5000,0,0.01
48,237771,-5472,5000,0,0.01
49,242771,-5428,5000,0,0.01
50,247771,-5312,5000,0,0.01
51,252771,-5384,5000,0,0.01
52,257771,-5428,5000,0,0.01
53,262771,-5432,5000,0,0.01
54,267771,-5636,5000,0,0.01
55,272771,-5388,5000,0,0.01
56,277771,-5368,5000,0,0.01
57,282771,-5376,5000,0,0.01
58,287771,-5388,5000,0,0.01
59,292771,-5356,5000,0,0.01
60,297771,-5360,5000,0,0.01
61,302771,-5416,5000,0,0.01
62,307771,-5404,5000,0,0.01
63,312771,-5372,5000,0,0.01
64,317771,-5396,5000,0,0.01
65,322771,-5396,5000,0,0.01
66,327771,-5480,5000,0,0.01
67,332771,-5316,5000,0,0.01
68,337771,-5356,5000,0,0.01
69,342771,-5348,5000,0,0.01
70,347771,-5308,5000,0,0.01
71,352771,-5376,5000,0,0.01
72,357771,-5344,5000,0,0.01
73,362771,-5336,5000,0,0.01
74,367771,-5360,5000,0,0.01
75,372771,-5356,5000,0,0.01
76,377771,-5436,5000,0,0.01
77,382771,-5436,5000,0,0.01
78,387771,-5388,5000,0,0.01
79,392771,-5412,5000,0,0.01
80,397771,-5344,5000,0,0.01
81,402771,-5348,5000,0,0.01
82,407771,-6580,5000,0,0.01
83,412771,-5420,5000,0,0.01
84,417771,-5368,5000,0,0.01
85,422771,-5436,5000,0,0.01
86,427771,-5392,5000,0,0.01
87,432771,-5304,5000,0,0.01
88,437771,-5380,5000,0,0.01
89,442771,-5392,5000,0,0.01
90,447771,-5428,5000,0,0.01
91,452771,-5364,5000,0,0.01
92,457771,-5412,5000,0,0.01
93,462771,-5340,5000,0,0.01
94,467771,-5384,5000,0,0.01
95,472771,-5320,5000,0,0.01
96,477771,-5288,5000,0,0.01
97,482771,-5320,5000,0,0.01
98,487771,-5412,5000,0,0.01
99,492771,-5324,5000,0,0.01
100,497771,-5340,5000,0,0.01
101,502771,-5400,5000,0,0.01
102,507771,-5392,5000,0,0.01
103,512771,-5548,5000,0,0.01
104,517771,-5356,5000,0,0.01
105,522771,-5432,5000,0,0.01
106,527771,-5860,5000,0,0.01
107,532771,-5392,5000,0,0.01
108,537771,-5320,5000,0,0.01
109,542771,-5392,5000,0,0.01
110,547771,-5380,5000,0,0.01
111,552771,-5304,5000,0,0.01
112,557771,-5364,5000,0,0.01
113,562771,-5356,5000,0,0.01
114,567771,-5428,5000,0,0.01
115,572771,-5296,5000,0,0.01
116,577771,-5384,5000,0,0.01
117,582771,-5416,5000,0,0.01
118,587771,-5364,5000,0,0.01
119,592771,-5316,5000,0,0.01
120,597771,-5352,5000,0,0.01
121,602771,-5412,5000,0,0.01
122,607771,-5340,5000,0,0.01
123,612771,-5356,5000,0,0.01
124,617771,-5380,5000,0,0.01
125,622771,-5380,5000,0,0.01
126,627771,-5464,5000,0,0.01
127,632771,-5336,5000,0,0.01
