episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,1706,-4811,1706,1,0.70252
2,2269,-1616,563,1,0.53012
3,7269,-11008,5000,0,0.04349
4,12269,-6236,5000,0,0.01
5,17269,-6360,5000,0,0.01
6,22269,-6228,5000,0,0.01
7,27269,-6168,5000,0,0.01
8,32269,-6144,5000,0,0.01
9,37269,-6172,5000,0,0.01
10,42269,-7552,5000,0,0.01
11,47269,-5992,5000,0,0.01
12,52269,-6172,5000,0,0.01
13,57269,-6160,5000,0,0.01
14,62269,-6344,5000,0,0.01
15,67269,-6056,5000,0,0.01
16,72269,-6124,5000,0,0.01
17,77269,-6024,5000,0,0.01
18,82269,-6852,5000,0,0.01
19,87269,-6068,5000,0,0.01
20,92269,-5912,5000,0,0.01
21,97269,-5848,5000,0,0.01
22,102269,-5900,5000,0,0.01
23,107269,-6076,5000,0,0.01
24,112251,-5831,4982,1,0.01
25,117251,-6040,5000,0,0.01
26,118010,-1388,759,1,0.01
27,123010,-5960,5000,0,0.01
28,128010,-5924,5000,0,0.01
29,133010,-5948,5000,0,0.01
30,138010,-5960,5000,0,0.01
31,143010,-6420,5000,0,0.01
32,143152,-167,142,1,0.01
33,144228,-1269,1076,1,0.01
34,149228,-5996,5000,0,0.01
35,150564,-1553,1336,1,0.01
36,151257,-802,693,1,0.01
37,152145,-1097,888,1,0.01
38,153420,-1528,1275,1,0.01
39,153863,-512,443,1,0.01
40,155228,-1634,1365,1,0.01
41,158448,-3917,3220,1,0.01
42,163115,-5936,4667,1,0.01
43,167612,-5638,4497,1,0.01
44,169799,-2656,2187,1,0.01
45,174799,-6008,5000,0,0.01
46,175808,-1190,1009,1,0.01
47,176771,-1160,963,1,0.01
48,178115,-1561,1344,1,0.01
49,181186,-3732,3071,1,0.01
50,184110,-3565,2924,1,0.01
51,186747,-3146,2637,1,0.01
52,187669,-1067,922,1,0.01
53,192669,-5932,5000,0,0.01
54,195212,-3372,2543,1,0.01
55,195445,-286,233,1,0.01
56,200445,-6156,5000,0,0.01
57,202357,-2329,1912,1,0.01
58,204564,-2684,2207,1,0.01
59,204707,-196,143,1,0.01
60,209707,-6012,5000,0,0.01
61,209792,-202,85,1,0.01
62,209944,-185,152,1,0.01
63,210964,-1149,1020,1,0.01
64,211026,-63,62,1,0.01
65,211086,-61,60,1,0.01
66,211138,-45,52,1,0.01
67,211211,-94,73,1,0.01
68,211271,-61,60,1,0.01
69,211350,-108,79,1,0.01
70,211429,-100,79,1,0.01
71,211503,-75,74,1,0.01
72,211559,-49,56,1,0.01
73,211626,-64,67,1,0.01
74,211695,-90,69,1,0.01
75,211766,-68,71,1,0.01
76,211827,-74,61,1,0.01
77,211888,-74,61,1,0.01
78,212561,-894,673,1,0.01
79,212735,-175,174,1,0.01
80,212800,-62,65,1,0.01
81,212856,-49,56,1,0.01
82,212912,-49,56,1,0.01
83,212970,-51,58,1,0.01
84,213038,-85,68,1,0.01
85,213107,-90,69,1,0.01
86,213171,-65,64,1,0.01
87,213242,-68,71,1,0.01
88,213315,-70,73,1,0.01
89,213443,-409,128,1,0.01
90,213500,-54,57,1,0.01
91,213556,-49,56,1,0.01
92,213614,-75,58,1,0.01
93,213669,-44,55,1,0.01
94,213774,-102,105,1,0.01
95,213843,-106,69,1,0.01
96,213903,-53,60,1,0.01
97,213960,-62,57,1,0.01
98,214056,-105,96,1,0.01
99,214141,-130,85,1,0.01
100,214208,-72,67,1,0.01
101,214268,-69,60,1,0.01
102,214415,-152,147,1,0.01
103,214513,-99,98,1,0.01
104,214597,-101,84,1,0.01
105,214785,-445,188,1,0.01
106,214873,-121,88,1,0.01
107,215454,-698,581,1,0.01
108,215780,-383,326,1,0.01
109,215845,-70,65,1,0.01
110,216223,-451,378,1,0.01
111,216385,-211,162,1,0.01
112,218048,-2404,1663,1,0.01
113,218536,-577,488,1,0.01
114,218683,-168,147,1,0.01
115,219247,-685,564,1,0.01
116,219326,-76,79,1,0.01
117,219614,-321,288,1,0.01
118,220785,-1376,1171,1,0.01
119,221292,-640,507,1,0.01
120,221941,-774,649,1,0.01
121,222009,-77,68,1,0.01
122,222230,-298,221,1,0.01
123,222534,-369,304,1,0.01
124,223062,-625,528,1,0.01
125,223967,-1078,905,1,0.01
126,224050,-88,83,1,0.01
127,224171,-142,121,1,0.01
128,224347,-201,176,1,0.01
129,224425,-87,78,1,0.01
130,224518,-106,93,1,0.01
131,224574,-57,56,1,0.01
132,224630,-49,56,1,0.01
133,224690,-53,60,1,0.01
134,225112,-655,422,1,0.01
135,225232,-129,120,1,0.01
136,225308,-77,76,1,0.01
137,225391,-88,83,1,0.01
138,225446,-44,55,1,0.01
139,225524,-79,78,1,0.01
140,225585,-66,61,1,0.01
141,225643,-59,58,1,0.01
142,225699,-49,56,1,0.01
143,225773,-75,74,1,0.01
144,225861,-89,88,1,0.01
145,225916,-44,55,1,0.01
146,226074,-167,158,1,0.01
147,226145,-76,71,1,0.01
148,226291,-187,146,1,0.01
149,226347,-49,56,1,0.01
150,226452,-102,105,1,0.01
151,226537,-90,85,1,0.01
152,226613,-77,76,1,0.01
153,226683,-87,70,1,0.01
154,226768,-98,85,1,0.01
155,226873,-102,105,1,0.01
156,226939,-75,66,1,0.01
157,226994,-60,55,1,0.01
158,227051,-54,57,1,0.01
159,227111,-69,60,1,0.01
160,227165,-47,54,1,0.01
161,227220,-60,55,1,0.01
162,227276,-57,56,1,0.01
163,227334,-59,58,1,0.01
164,227410,-101,76,1,0.01
165,227486,-77,76,1,0.01
166,227563,-74,77,1,0.01
167,227639,-93,76,1,0.01
168,227699,-69,60,1,0.01
169,227769,-63,70,1,0.01
170,227837,-77,68,1,0.01
171,227904,-72,67,1,0.01
172,227959,-60,55,1,0.01
173,228033,-75,74,1,0.01
174,228093,-53,60,1,0.01
175,228164,-68,71,1,0.01
176,228219,-60,55,1,0.01
177,228275,-65,56,1,0.01
178,228336,-58,61,1,0.01
179,228391,-60,55,1,0.01
180,228448,-54,57,1,0.01
181,228506,-67,58,1,0.01
182,228562,-49,56,1,0.01
183,228618,-49,56,1,0.01
184,228754,-145,136,1,0.01
185,228809,-60,55,1,0.01
186,228864,-60,55,1,0.01
187,228920,-49,56,1,0.01
