episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,5000,-18552,5000,0,N/A
2,10000,-23756,5000,0,N/A
3,15000,-23756,5000,0,N/A
4,20000,-23756,5000,0,N/A
5,25000,-23756,5000,0,N/A
6,30000,-23756,5000,0,N/A
7,35000,-23756,5000,0,N/A
8,40000,-23756,5000,0,N/A
9,45000,-23756,5000,0,N/A
10,50000,-23756,5000,0,N/A
11,55000,-23756,5000,0,N/A
12,60000,-23756,5000,0,N/A
13,65000,-23756,5000,0,N/A
14,70000,-23756,5000,0,N/A
15,75000,-23756,5000,0,N/A
16,80000,-23756,5000,0,N/A
17,85000,-23756,5000,0,N/A
18,90000,-23756,5000,0,N/A
19,95000,-23756,5000,0,N/A
20,100000,-23756,5000,0,N/A
21,105000,-23756,5000,0,N/A
22,110000,-23756,5000,0,N/A
23,115000,-23756,5000,0,N/A
24,120000,-23756,5000,0,N/A
25,125000,-23756,5000,0,N/A
26,130000,-23756,5000,0,N/A
27,135000,-23756,5000,0,N/A
28,140000,-23756,5000,0,N/A
29,145000,-23756,5000,0,N/A
30,150000,-23756,5000,0,N/A
31,155000,-23756,5000,0,N/A
32,160000,-23756,5000,0,N/A
33,165000,-23756,5000,0,N/A
34,170000,-23756,5000,0,N/A
35,175000,-23756,5000,0,N/A
36,180000,-23756,5000,0,N/A
37,185000,-23756,5000,0,N/A
38,190000,-23756,5000,0,N/A
39,195000,-23756,5000,0,N/A
40,200000,-23756,5000,0,N/A
41,205000,-23756,5000,0,N/A
42,210000,-23756,5000,0,N/A
43,215000,-23756,5000,0,N/A
44,220000,-23756,5000,0,N/A
45,225000,-23756,5000,0,N/A
46,230000,-23756,5000,0,N/A
47,235000,-23756,5000,0,N/A
48,240000,-23756,5000,0,N/A
49,245000,-23756,5000,0,N/A
50,250000,-23756,5000,0,N/A
51,255000,-23756,5000,0,N/A
52,260000,-23756,5000,0,N/A
53,265000,-23756,5000,0,N/A
54,270000,-23756,5000,0,N/A
55,275000,-23756,5000,0,N/A
56,280000,-23756,5000,0,N/A
57,285000,-23756,5000,0,N/A
58,290000,-23756,5000,0,N/A
59,295000,-23756,5000,0,N/A
60,300000,-23756,5000,0,N/A
61,305000,-23756,5000,0,N/A
62,310000,-23756,5000,0,N/A
63,315000,-23756,5000,0,N/A
64,320000,-23756,5000,0,N/A
65,325000,-23756,5000,0,N/A
66,330000,-23756,5000,0,N/A
67,335000,-23756,5000,0,N/A
68,340000,-23756,5000,0,N/A
69,345000,-23756,5000,0,N/A
70,350000,-23756,5000,0,N/A
71,355000,-23756,5000,0,N/A
72,360000,-23756,5000,0,N/A
73,365000,-23756,5000,0,N/A
74,370000,-23756,5000,0,N/A
75,375000,-23756,5000,0,N/A
76,380000,-23756,5000,0,N/A
77,385000,-23756,5000,0,N/A
78,390000,-23756,5000,0,N/A
79,395000,-23756,5000,0,N/A
80,400000,-23756,5000,0,N/A
81,405000,-23756,5000,0,N/A
82,410000,-23756,5000,0,N/A
83,415000,-23756,5000,0,N/A
84,420000,-23756,5000,0,N/A
85,425000,-23756,5000,0,N/A
86,430000,-23756,5000,0,N/A
87,435000,-23756,5000,0,N/A
88,440000,-23756,5000,0,N/A
89,445000,-23756,5000,0,N/A
90,450000,-23756,5000,0,N/A
91,455000,-23756,5000,0,N/A
92,460000,-23756,5000,0,N/A
93,465000,-23756,5000,0,N/A
94,470000,-23756,5000,0,N/A
95,475000,-23756,5000,0,N/A
96,480000,-23756,5000,0,N/A
97,485000,-23756,5000,0,N/A
98,490000,-23756,5000,0,N/A
99,495000,-23756,5000,0,N/A
100,500000,-23756,5000,0,N/A
101,505000,-23756,5000,0,N/A
102,510000,-23756,5000,0,N/A
103,515000,-23756,5000,0,N/A
104,520000,-23756,5000,0,N/A
105,525000,-23756,5000,0,N/A
106,530000,-23756,5000,0,N/A
107,535000,-23756,5000,0,N/A
108,540000,-23756,5000,0,N/A
109,545000,-23756,5000,0,N/A
110,550000,-23756,5000,0,N/A
111,555000,-23756,5000,0,N/A
112,560000,-23756,5000,0,N/A
113,565000,-23756,5000,0,N/A
114,570000,-23756,5000,0,N/A
115,575000,-23756,5000,0,N/A
116,580000,-23756,5000,0,N/A
117,585000,-23756,5000,0,N/A
118,590000,-23756,5000,0,N/A
119,595000,-23756,5000,0,N/A
120,600000,-23756,5000,0,N/A
121,605000,-23756,5000,0,N/A
122,610000,-23756,5000,0,N/A
123,615000,-23756,5000,0,N/A
124,620000,-23756,5000,0,N/A
125,625000,-23756,5000,0,N/A
126,630000,-23756,5000,0,N/A
127,635000,-23756,5000,0,N/A
128,640000,-23756,5000,0,N/A
129,645000,-23756,5000,0,N/A
130,650000,-23756,5000,0,N/A
131,655000,-23756,5000,0,N/A
132,660000,-23756,5000,0,N/A
133,665000,-23756,5000,0,N/A
134,670000,-23756,5000,0,N/A
135,675000,-23756,5000,0,N/A
136,680000,-23756,5000,0,N/A
137,685000,-23756,5000,0,N/A
138,690000,-23756,5000,0,N/A
139,695000,-23756,5000,0,N/A
140,700000,-23756,5000,0,N/A
141,705000,-23756,5000,0,N/A
142,710000,-23756,5000,0,N/A
143,715000,-23756,5000,0,N/A
144,720000,-23756,5000,0,N/A
145,725000,-23756,5000,0,N/A
146,730000,-23756,5000,0,N/A
147,735000,-23756,5000,0,N/A
148,740000,-23756,5000,0,N/A
149,745000,-23756,5000,0,N/A
150,750000,-23756,5000,0,N/A
151,755000,-23756,5000,0,N/A
152,760000,-23756,5000,0,N/A
153,765000,-23756,5000,0,N/A
154,770000,-23756,5000,0,N/A
155,775000,-23756,5000,0,N/A
156,780000,-23756,5000,0,N/A
157,785000,-23756,5000,0,N/A
158,790000,-23756,5000,0,N/A
159,795000,-23756,5000,0,N/A
160,800000,-23756,5000,0,N/A
161,805000,-23756,5000,0,N/A
162,810000,-23756,5000,0,N/A
163,815000,-23756,5000,0,N/A
164,820000,-23756,5000,0,N/A
165,825000,-23756,5000,0,N/A
166,830000,-23756,5000,0,N/A
167,835000,-23756,5000,0,N/A
168,840000,-23756,5000,0,N/A
169,845000,-23756,5000,0,N/A
170,850000,-23756,5000,0,N/A
171,855000,-23756,5000,0,N/A
172,860000,-23756,5000,0,N/A
173,865000,-23756,5000,0,N/A
174,870000,-23756,5000,0,N/A
175,875000,-23756,5000,0,N/A
176,880000,-23756,5000,0,N/A
177,885000,-23756,5000,0,N/A
178,890000,-23756,5000,0,N/A
179,895000,-23756,5000,0,N/A
180,900000,-23756,5000,0,N/A
181,905000,-23756,5000,0,N/A
182,910000,-23756,5000,0,N/A
183,915000,-23756,5000,0,N/A
184,920000,-23756,5000,0,N/A
185,925000,-23756,5000,0,N/A
186,930000,-23756,5000,0,N/A
187,935000,-23756,5000,0,N/A
188,940000,-23756,5000,0,N/A
189,945000,-23756,5000,0,N/A
190,950000,-23756,5000,0,N/A
191,955000,-23756,5000,0,N/A
192,960000,-23756,5000,0,N/A
193,965000,-23756,5000,0,N/A
194,970000,-23756,5000,0,N/A
195,975000,-23756,5000,0,N/A
196,980000,-23756,5000,0,N/A
197,985000,-23756,5000,0,N/A
198,990000,-23756,5000,0,N/A
199,995000,-23756,5000,0,N/A
200,1000000,-23756,5000,0,N/A
