episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,5000,-20260,5000,0,N/A
2,10000,-22536,5000,0,N/A
3,15000,-22536,5000,0,N/A
4,20000,-22536,5000,0,N/A
5,25000,-22536,5000,0,N/A
6,30000,-22536,5000,0,N/A
7,35000,-22536,5000,0,N/A
8,40000,-22536,5000,0,N/A
9,45000,-22536,5000,0,N/A
10,50000,-22536,5000,0,N/A
11,55000,-22536,5000,0,N/A
12,60000,-22536,5000,0,N/A
13,65000,-22536,5000,0,N/A
14,70000,-22536,5000,0,N/A
15,75000,-22536,5000,0,N/A
16,80000,-22536,5000,0,N/A
17,85000,-22536,5000,0,N/A
18,90000,-22536,5000,0,N/A
19,95000,-22536,5000,0,N/A
20,100000,-22536,5000,0,N/A
21,105000,-22536,5000,0,N/A
22,110000,-22536,5000,0,N/A
23,115000,-22536,5000,0,N/A
24,120000,-22536,5000,0,N/A
25,125000,-22536,5000,0,N/A
26,130000,-22536,5000,0,N/A
27,135000,-22536,5000,0,N/A
28,140000,-22536,5000,0,N/A
29,145000,-22536,5000,0,N/A
30,150000,-22536,5000,0,N/A
31,155000,-22536,5000,0,N/A
32,160000,-22536,5000,0,N/A
33,165000,-22536,5000,0,N/A
34,170000,-22536,5000,0,N/A
35,175000,-22536,5000,0,N/A
36,180000,-22536,5000,0,N/A
37,185000,-22536,5000,0,N/A
38,190000,-22536,5000,0,N/A
39,195000,-22536,5000,0,N/A
40,200000,-22536,5000,0,N/A
41,205000,-22536,5000,0,N/A
42,210000,-22536,5000,0,N/A
43,215000,-22536,5000,0,N/A
44,220000,-22536,5000,0,N/A
45,225000,-22536,5000,0,N/A
46,230000,-22536,5000,0,N/A
47,235000,-22536,5000,0,N/A
48,240000,-22536,5000,0,N/A
49,245000,-22536,5000,0,N/A
50,250000,-22536,5000,0,N/A
51,255000,-22536,5000,0,N/A
52,260000,-22536,5000,0,N/A
53,265000,-22536,5000,0,N/A
54,270000,-22536,5000,0,N/A
55,275000,-22536,5000,0,N/A
56,280000,-22536,5000,0,N/A
57,285000,-22536,5000,0,N/A
58,290000,-22536,5000,0,N/A
59,295000,-22536,5000,0,N/A
60,300000,-22536,5000,0,N/A
61,305000,-22536,5000,0,N/A
62,310000,-22536,5000,0,N/A
63,315000,-22536,5000,0,N/A
64,320000,-22536,5000,0,N/A
65,325000,-22536,5000,0,N/A
66,330000,-22536,5000,0,N/A
67,335000,-22536,5000,0,N/A
68,340000,-22536,5000,0,N/A
69,345000,-22536,5000,0,N/A
70,350000,-22536,5000,0,N/A
71,355000,-22536,5000,0,N/A
72,360000,-22536,5000,0,N/A
73,365000,-22536,5000,0,N/A
74,370000,-22536,5000,0,N/A
75,375000,-22536,5000,0,N/A
76,380000,-22536,5000,0,N/A
77,385000,-22536,5000,0,N/A
78,390000,-22536,5000,0,N/A
79,395000,-22536,5000,0,N/A
80,400000,-22536,5000,0,N/A
81,405000,-22536,5000,0,N/A
82,410000,-22536,5000,0,N/A
83,415000,-22536,5000,0,N/A
84,420000,-22536,5000,0,N/A
85,425000,-22536,5000,0,N/A
86,430000,-22536,5000,0,N/A
87,435000,-22536,5000,0,N/A
88,440000,-22536,5000,0,N/A
89,445000,-22536,5000,0,N/A
90,450000,-22536,5000,0,N/A
91,455000,-22536,5000,0,N/A
92,460000,-22536,5000,0,N/A
93,465000,-22536,5000,0,N/A
94,470000,-22536,5000,0,N/A
95,475000,-22536,5000,0,N/A
96,480000,-22536,5000,0,N/A
97,485000,-22536,5000,0,N/A
98,490000,-22536,5000,0,N/A
99,495000,-22536,5000,0,N/A
100,500000,-22536,5000,0,N/A
